Major Head,Sub-Major Head,Minor Head,Sub-Minor Head,Detailed Head,Object Head,Voucher Head,Scheme,Area,Voted/Charged,row_id,Major Head Code,Sub-Major Head Code,Minor Head Code,Sub-Minor Head Code,Detailed Head Code,Object Head Code,Voucher Head Code,Scheme Code,Area Code,Voted/Charged Code,file_id,level_2_code,level_3_code,level_4_code,level_5_code,level_6_code,level_7_code,level_8_code,level_9_code,level_10_code,budget_for,year
Administration of Justice,NULL,High Courts,Establishment,NULL,Salaries,Pay,Establishmet Expenditure,General Area,Charged,1,2014,0,102,152,0,1,1,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__152,2014__0__102__152__0,2014__0__102__152__0__1,2014__0__102__152__0__1__1,2014__0__102__152__0__1__1__ee,2014__0__102__152__0__1__1__ee__ga,2014__0__102__152__0__1__1__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Establishment,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,General Area,Charged,2,2014,0,102,152,0,1,2,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__152,2014__0__102__152__0,2014__0__102__152__0__1,2014__0__102__152__0__1__2,2014__0__102__152__0__1__2__ee,2014__0__102__152__0__1__2__ee__ga,2014__0__102__152__0__1__2__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Establishment,NULL,Salaries,Leave Travel Concession,Establishmet Expenditure,General Area,Charged,3,2014,0,102,152,0,1,5,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__152,2014__0__102__152__0,2014__0__102__152__0__1,2014__0__102__152__0__1__5,2014__0__102__152__0__1__5__ee,2014__0__102__152__0__1__5__ee__ga,2014__0__102__152__0__1__5__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Establishment,NULL,Salaries,Medical Reimbursement,Establishmet Expenditure,General Area,Charged,4,2014,0,102,152,0,1,8,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__152,2014__0__102__152__0,2014__0__102__152__0__1,2014__0__102__152__0__1__8,2014__0__102__152__0__1__8__ee,2014__0__102__152__0__1__8__ee__ga,2014__0__102__152__0__1__8__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Establishment,NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Charged,5,2014,0,102,152,0,3,0,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__152,2014__0__102__152__0,2014__0__102__152__0__3,2014__0__102__152__0__3__0,2014__0__102__152__0__3__0__ee,2014__0__102__152__0__3__0__ee__ga,2014__0__102__152__0__3__0__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Establishment,NULL,Publication,Printing of Periodicals/Newspapers,Establishmet Expenditure,General Area,Charged,6,2014,0,102,152,0,7,1,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__152,2014__0__102__152__0,2014__0__102__152__0__7,2014__0__102__152__0__7__1,2014__0__102__152__0__7__1__ee,2014__0__102__152__0__7__1__ee__ga,2014__0__102__152__0__7__1__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Judges,NULL,Salaries,Pay,Establishmet Expenditure,General Area,Charged,7,2014,0,102,304,0,1,1,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__304,2014__0__102__304__0,2014__0__102__304__0__1,2014__0__102__304__0__1__1,2014__0__102__304__0__1__1__ee,2014__0__102__304__0__1__1__ee__ga,2014__0__102__304__0__1__1__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Judges,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,General Area,Charged,8,2014,0,102,304,0,1,2,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__304,2014__0__102__304__0,2014__0__102__304__0__1,2014__0__102__304__0__1__2,2014__0__102__304__0__1__2__ee,2014__0__102__304__0__1__2__ee__ga,2014__0__102__304__0__1__2__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Judges,NULL,Salaries,Leave Travel Concession,Establishmet Expenditure,General Area,Charged,9,2014,0,102,304,0,1,5,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__304,2014__0__102__304__0,2014__0__102__304__0__1,2014__0__102__304__0__1__5,2014__0__102__304__0__1__5__ee,2014__0__102__304__0__1__5__ee__ga,2014__0__102__304__0__1__5__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Judges,NULL,Salaries,Medical Reimbursement,Establishmet Expenditure,General Area,Charged,10,2014,0,102,304,0,1,8,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__304,2014__0__102__304__0,2014__0__102__304__0__1,2014__0__102__304__0__1__8,2014__0__102__304__0__1__8__ee,2014__0__102__304__0__1__8__ee__ga,2014__0__102__304__0__1__8__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Judges,NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Charged,11,2014,0,102,304,0,3,0,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__304,2014__0__102__304__0,2014__0__102__304__0__3,2014__0__102__304__0__3__0,2014__0__102__304__0__3__0__ee,2014__0__102__304__0__3__0__ee__ga,2014__0__102__304__0__3__0__ee__ga__c,justice,2018-19
Administration of Justice,NULL,High Courts,Judges,NULL,Hospitality Expenses / Sumptuary Allowances etc,Others,Establishmet Expenditure,General Area,Charged,12,2014,0,102,304,0,11,99,EE,GA,C,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__102,2014__0__102__304,2014__0__102__304__0,2014__0__102__304__0__11,2014__0__102__304__0__11__99,2014__0__102__304__0__11__99__ee,2014__0__102__304__0__11__99__ee__ga,2014__0__102__304__0__11__99__ee__ga__c,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Pay,Establishmet Expenditure,General Area,Voted,13,2014,0,105,0,0,1,1,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__1,2014__0__105__0__0__1__1__ee,2014__0__105__0__0__1__1__ee__ga,2014__0__105__0__0__1__1__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,General Area,Voted,14,2014,0,105,0,0,1,2,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__2,2014__0__105__0__0__1__2__ee,2014__0__105__0__0__1__2__ee__ga,2014__0__105__0__0__1__2__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Others,Establishmet Expenditure,General Area,Voted,15,2014,0,105,0,0,1,99,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__99,2014__0__105__0__0__1__99__ee,2014__0__105__0__0__1__99__ee__ga,2014__0__105__0__0__1__99__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Leave Travel Concession,Establishmet Expenditure,General Area,Voted,16,2014,0,105,0,0,1,5,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__5,2014__0__105__0__0__1__5__ee,2014__0__105__0__0__1__5__ee__ga,2014__0__105__0__0__1__5__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Medical Reimbursement,Establishmet Expenditure,General Area,Voted,17,2014,0,105,0,0,1,8,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__8,2014__0__105__0__0__1__8__ee,2014__0__105__0__0__1__8__ee__ga,2014__0__105__0__0__1__8__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Salaries,Arrear Salary/DA,Establishmet Expenditure,General Area,Voted,18,2014,0,105,0,0,1,12,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__1,2014__0__105__0__0__1__12,2014__0__105__0__0__1__12__ee,2014__0__105__0__0__1__12__ee__ga,2014__0__105__0__0__1__12__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Travel Expenses,NULL,Establishmet Expenditure,General Area,Voted,19,2014,0,105,0,0,3,0,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__3,2014__0__105__0__0__3__0,2014__0__105__0__0__3__0__ee,2014__0__105__0__0__3__0__ee__ga,2014__0__105__0__0__3__0__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Civil and Session Courts,NULL,NULL,Office Expenses,Electricity and Water Charge,Establishmet Expenditure,General Area,Voted,20,2014,0,105,0,0,4,3,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__105,2014__0__105__0,2014__0__105__0__0,2014__0__105__0__0__4,2014__0__105__0__0__4__3,2014__0__105__0__0__4__3__ee,2014__0__105__0__0__4__3__ee__ga,2014__0__105__0__0__4__3__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Salaries,Pay,Establishmet Expenditure,General Area,Voted,21,2014,0,108,0,0,1,1,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__1,2014__0__108__0__0__1__1,2014__0__108__0__0__1__1__ee,2014__0__108__0__0__1__1__ee__ga,2014__0__108__0__0__1__1__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Salaries,Dearness Allowance,Establishmet Expenditure,General Area,Voted,22,2014,0,108,0,0,1,2,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__1,2014__0__108__0__0__1__2,2014__0__108__0__0__1__2__ee,2014__0__108__0__0__1__2__ee__ga,2014__0__108__0__0__1__2__ee__ga__v,justice,2018-19
Administration of Justice,NULL,Criminal Courts,NULL,NULL,Salaries,Leave Travel Concession,Establishmet Expenditure,General Area,Voted,23,2014,0,108,0,0,1,5,EE,GA,V,assam-budget-2018-19_administration_of_justice.csv,2014__0,2014__0__108,2014__0__108__0,2014__0__108__0__0,2014__0__108__0__0__1,2014__0__108__0__0__1__5,2014__0__108__0__0__1__5__ee,2014__0__108__0__0__1__5__ee__ga,2014__0__108__0__0__1__5__ee__ga__v,justice,2018-19
