grant,head_title_updated,category
police,police,revenue expenditure
police,capital outlay on police,capital outlay
police,police__direction and administration,direction and administration
police,police__education and training,education and training
police,police__criminal investigation and vigilance,criminal investigation and vigilance
police,police__special police,special police
police,police__district police,district police
police,police__village police,village police
police,police__railway police,railway police
police,police__welfare of police personnel,welfare of police personnel
police,police__wireless and computers,wireless and computers
police,police__modernisation of police force,modernisation of police force
police,police__other expenditure,other expenditure
police,capital outlay on police__state police,capital outlay
police,police__criminal investigation and vigilance__general security related expenditure,criminal investigation and vigilance
police,police__special police__general security related expenditure,special police
police,police__district police__establishment of watch post schemes,district police - establishment of watch post schemes
police,"police__district police__thumb, finger & photo.schemes","district police - thumb, finger & photo.schemes"
police,"police__district police__police, passport & visa system","district police - police, passport & visa system"
police,police__district police__checking of bangladeshi infiltration,district police - checking of bangladeshi infiltration
police,police__district police__general security related expenditure,district police - general security related expenditure
police,police__other expenditure__relief operation in connection with disturbances,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__expenditure in connection with general election,other expenditure
police,police__modernisation of police force__national scheme for modernisation of police & other forces,modernisation of police force
police,capital outlay on police__state police__bangiadeshi infiltration,capital outlay
police,"capital outlay on police__police housing__upgration of standard of administration, award of thirteenth finance commission",capital outlay
police,police__forensic science,forensic science
police,"police__forensic science__regional forensic science laboratory, jorhat",forensic science
police,police__direction and administration__head quarters establishment,direction and administration
police,police__direction and administration__police range,direction and administration
police,police__education and training__police training college,education and training
police,police__education and training__armed police training centre,education and training - armed police training centre
police,police__education and training__recruits training school of assam,education and training
police,police__education and training__battalion training centre,education and training - battalion training centre
police,police__education and training__assam police academy (training),education and training
police,police__criminal investigation and vigilance__criminal investigation department,criminal investigation and vigilance
police,police__criminal investigation and vigilance__special branch,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch (bieo),criminal investigation and vigilance - special branch
police,police__special police__armed police battalions,special police
police,police__special police__assam nagaland border,special police
police,police__special police__general security related expenditure__armed police battalion,special police
police,police__district police__district police proper,district police - district police proper
police,police__district police__women police,district police - women police
police,police__district police__home guard,district police
