budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col
jails,2018-19,jails__null,2056__0,6731.16,7681.81,8587.9,9754.04,level_2
jails,2019-20,jails__null,2056__0,6976.360000000001,9754.04,10306.54,11388.56,level_2
jails,2020-21,jails__null,2056__0,8140.1500000000005,11388.56,11596.31,9653,level_2
jails,2021-22,jails__null,2056__0,8093.86,9653,9741.24,8975.2,level_2
jails,2018-19,capital outlay on public works__office buildings,4059__1,0,716.34,716.34,1729.2,level_2
jails,2019-20,capital outlay on public works__office buildings,4059__1,120.06,2529.2,2529.2,2321.14,level_2
jails,2020-21,capital outlay on public works__office buildings,4059__1,725.22,2321.14,2321.14,1900,level_2
jails,2021-22,capital outlay on public works__office buildings,4059__1,1708.78,1900,1900,2011.16,level_2
jails,2018-19,jails__null__direction and administration,2056__0__1,243.5,558.03,593.89,744.78,level_3
jails,2019-20,jails__null__direction and administration,2056__0__1,265.36,744.78,768.78,1101.65,level_3
jails,2020-21,jails__null__direction and administration,2056__0__1,454.62,1101.65,1153.4,476.47,level_3
jails,2021-22,jails__null__direction and administration,2056__0__1,343.89,476.47,508.78000000000003,459.8,level_3
jails,2018-19,jails__null__jails,2056__0__101,6297.93,6879.04,7692.64,8684.1,level_3
jails,2019-20,jails__null__jails,2056__0__101,6482.47,8684.1,9212.6,9903.460000000001,level_3
jails,2020-21,jails__null__jails,2056__0__101,7465,9903.460000000001,10059.460000000001,8855.79,level_3
jails,2021-22,jails__null__jails,2056__0__101,7498.969999999999,8855.79,8911.72,8104.200000000001,level_3
jails,2018-19,jails__null__jail manufacturers,2056__0__102,110.24000000000001,152.13,180.88,201.92,level_3
jails,2019-20,jails__null__jail manufacturers,2056__0__102,147.06,201.92,201.92,221.28,level_3
jails,2020-21,jails__null__jail manufacturers,2056__0__102,112.67999999999999,221.28,221.28,178.8,level_3
jails,2021-22,jails__null__jail manufacturers,2056__0__102,139.76,178.8,178.8,281.52,level_3
jails,2018-19,jails__null__other expenditure,2056__0__800,79.49,92.61,120.49,123.24,level_3
jails,2019-20,jails__null__other expenditure,2056__0__800,81.47,123.24,123.24,162.17,level_3
