category,major_head,level,total_values,common_values,percent_common
jails,2056,level_2_code,1,1,100
jails,2056,level_3_code,5,4,80
jails,2056,level_4_code,8,6,75
jails,2056,level_5_code,10,7,70
jails,2056,level_6_code,60,49,81.67
jails,2056,level_7_code,214,110,51.4
jails,2056,level_8_code,215,110,51.16
jails,2056,level_9_code,260,136,52.31
jails,2056,level_10_code,262,135,51.53
jails,4059,level_2_code,1,1,100
jails,4059,level_3_code,2,1,50
jails,4059,level_4_code,5,3,60
jails,4059,level_5_code,9,5,55.56
jails,4059,level_6_code,9,5,55.56
jails,4059,level_7_code,10,5,50
jails,4059,level_8_code,10,5,50
jails,4059,level_9_code,14,7,50
jails,4059,level_10_code,14,7,50
justice,2014,level_2_code,1,1,100
justice,2014,level_3_code,6,5,83.33
justice,2014,level_4_code,22,20,90.91
justice,2014,level_5_code,24,20,83.33
justice,2014,level_6_code,110,85,77.27
justice,2014,level_7_code,372,164,44.09
justice,2014,level_8_code,378,160,42.33
justice,2014,level_9_code,493,191,38.74
justice,2014,level_10_code,494,190,38.46
justice,2041,level_2_code,1,1,100
justice,2041,level_3_code,1,1,100
justice,2041,level_4_code,1,1,100
justice,2041,level_5_code,1,1,100
justice,2041,level_6_code,8,5,62.5
justice,2041,level_7_code,29,17,58.62
justice,2041,level_8_code,29,17,58.62
justice,2041,level_9_code,29,17,58.62
justice,2041,level_10_code,29,17,58.62
justice,2230,level_2_code,1,1,100
justice,2230,level_3_code,1,1,100
justice,2230,level_4_code,5,5,100
justice,2230,level_5_code,5,5,100
justice,2230,level_6_code,27,23,85.19
justice,2230,level_7_code,129,58,44.96
justice,2230,level_8_code,129,58,44.96
justice,2230,level_9_code,129,58,44.96
justice,2230,level_10_code,129,58,44.96
justice,4059,level_2_code,2,2,100
justice,4059,level_3_code,4,2,50
justice,4059,level_4_code,7,3,42.86
justice,4059,level_5_code,24,5,20.83
justice,4059,level_6_code,24,5,20.83
justice,4059,level_7_code,24,5,20.83
justice,4059,level_8_code,27,5,18.52
justice,4059,level_9_code,27,5,18.52
justice,4059,level_10_code,27,5,18.52
justice,4216,level_2_code,1,1,100
justice,4216,level_3_code,3,2,66.67
justice,4216,level_4_code,3,2,66.67
justice,4216,level_5_code,6,3,50
justice,4216,level_6_code,6,3,50
justice,4216,level_7_code,6,3,50
justice,4216,level_8_code,6,3,50
justice,4216,level_9_code,6,3,50
justice,4216,level_10_code,6,3,50
police,2055,level_2_code,1,1,100
police,2055,level_3_code,13,12,92.31
police,2055,level_4_code,63,59,93.65
police,2055,level_5_code,110,66,60
police,2055,level_6_code,654,327,50
police,2055,level_7_code,2347,672,28.63
police,2055,level_8_code,2366,673,28.44
police,2055,level_9_code,2366,673,28.44
police,2055,level_10_code,2369,676,28.54
police,4055,level_2_code,1,1,100
police,4055,level_3_code,2,2,100
police,4055,level_4_code,24,9,37.5
police,4055,level_5_code,46,11,23.91
police,4055,level_6_code,49,10,20.41
police,4055,level_7_code,49,10,20.41
police,4055,level_8_code,49,10,20.41
police,4055,level_9_code,50,11,22
police,4055,level_10_code,50,11,22
