category,major_head,level,total_values,common_values,percent_common
jails,2056,level_2_code,1,1,100
jails,2056,level_3_code,5,4,80
jails,2056,level_4_code,8,6,75
jails,2056,level_5_code,10,7,70
jails,2056,level_6_code,60,47,78.33
jails,2056,level_7_code,215,105,48.84
jails,2056,level_8_code,216,105,48.61
jails,2056,level_9_code,261,130,49.81
jails,2056,level_10_code,263,129,49.05
jails,4059,level_2_code,1,1,100
jails,4059,level_3_code,2,0,0
jails,4059,level_4_code,6,0,0
jails,4059,level_5_code,10,0,0
jails,4059,level_6_code,10,0,0
jails,4059,level_7_code,11,0,0
jails,4059,level_8_code,15,0,0
jails,4059,level_9_code,19,0,0
jails,4059,level_10_code,21,0,0
justice,2014,level_2_code,1,1,100
justice,2014,level_3_code,7,5,71.43
justice,2014,level_4_code,23,20,86.96
justice,2014,level_5_code,25,19,76
justice,2014,level_6_code,115,80,69.57
justice,2014,level_7_code,393,148,37.66
justice,2014,level_8_code,400,146,36.5
justice,2014,level_9_code,515,177,34.37
justice,2014,level_10_code,516,177,34.3
justice,2041,level_2_code,1,1,100
justice,2041,level_3_code,1,1,100
justice,2041,level_4_code,1,1,100
justice,2041,level_5_code,1,1,100
justice,2041,level_6_code,8,5,62.5
justice,2041,level_7_code,29,17,58.62
justice,2041,level_8_code,29,17,58.62
justice,2041,level_9_code,29,17,58.62
justice,2041,level_10_code,29,17,58.62
justice,2230,level_2_code,1,1,100
justice,2230,level_3_code,1,1,100
justice,2230,level_4_code,5,5,100
justice,2230,level_5_code,5,5,100
justice,2230,level_6_code,27,23,85.19
justice,2230,level_7_code,129,58,44.96
justice,2230,level_8_code,129,58,44.96
justice,2230,level_9_code,129,58,44.96
justice,2230,level_10_code,129,58,44.96
justice,4059,level_2_code,2,2,100
justice,4059,level_3_code,4,0,0
justice,4059,level_4_code,7,0,0
justice,4059,level_5_code,24,0,0
justice,4059,level_6_code,25,0,0
justice,4059,level_7_code,25,0,0
justice,4059,level_8_code,41,0,0
justice,4059,level_9_code,41,0,0
justice,4059,level_10_code,41,0,0
justice,4216,level_2_code,1,1,100
justice,4216,level_3_code,3,2,66.67
justice,4216,level_4_code,3,2,66.67
justice,4216,level_5_code,6,3,50
justice,4216,level_6_code,7,3,42.86
justice,4216,level_7_code,7,3,42.86
justice,4216,level_8_code,12,1,8.33
justice,4216,level_9_code,12,1,8.33
justice,4216,level_10_code,12,1,8.33
police,2055,level_2_code,1,1,100
police,2055,level_3_code,13,12,92.31
police,2055,level_4_code,63,59,93.65
police,2055,level_5_code,115,65,56.52
police,2055,level_6_code,667,309,46.33
police,2055,level_7_code,2363,627,26.53
police,2055,level_8_code,2401,622,25.91
police,2055,level_9_code,2402,622,25.9
police,2055,level_10_code,2405,625,25.99
police,4055,level_2_code,1,1,100
police,4055,level_3_code,3,2,66.67
police,4055,level_4_code,25,9,36
police,4055,level_5_code,50,11,22
police,4055,level_6_code,53,10,18.87
police,4055,level_7_code,54,9,16.67
police,4055,level_8_code,72,0,0
police,4055,level_9_code,73,0,0
police,4055,level_10_code,74,0,0
