category,major_head_code,level,unique_level_heads,2018-19,2019-20,2020-21,2021-22,2022-23
jails,2056,level_2_code,2056__0,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_3_code,2056__0__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_3_code,2056__0__101,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_3_code,2056__0__102,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_3_code,2056__0__800,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_3_code,2056__0__911,FALSE,FALSE,TRUE,TRUE,TRUE
jails,2056,level_4_code,2056__0__1__172,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_4_code,2056__0__1__1738,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_4_code,2056__0__101__486,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_4_code,2056__0__102__0,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_4_code,2056__0__800__489,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_4_code,2056__0__101__487,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_4_code,2056__0__101__2445,FALSE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_4_code,2056__0__911__0,FALSE,FALSE,TRUE,TRUE,TRUE
jails,2056,level_5_code,2056__0__1__172__0,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_5_code,2056__0__1__1738__0,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_5_code,2056__0__101__486__0,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_5_code,2056__0__102__0__0,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_5_code,2056__0__800__489__0,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_5_code,2056__0__101__486__600,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_5_code,2056__0__101__487__600,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_5_code,2056__0__101__2445__0,FALSE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_5_code,2056__0__911__0__0,FALSE,FALSE,TRUE,TRUE,TRUE
jails,2056,level_5_code,2056__0__101__2445__927,FALSE,FALSE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__172__0__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__172__0__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__172__0__5,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__1738__0__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__1738__0__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__0__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__0__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__0__14,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__0__16,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__0__19,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__102__0__0__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__800__489__0__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__800__489__0__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__172__0__16,TRUE,TRUE,TRUE,TRUE,FALSE
jails,2056,level_6_code,2056__0__1__172__0__17,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__1738__0__4,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__0__4,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__0__6,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__0__15,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__800__489__0__4,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__800__489__0__14,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__172__0__4,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__0__17,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__102__0__0__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__102__0__0__4,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__102__0__0__17,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__800__489__0__17,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__600__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__600__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__600__4,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__600__14,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__600__17,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__600__19,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__600__6,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__172__0__26,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__102__0__0__19,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__800__489__0__6,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__800__489__0__15,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__800__489__0__19,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__102__0__0__15,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__487__600__26,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__172__0__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__0__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__102__0__0__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__800__489__0__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__600__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__172__0__15,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__172__0__32,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__486__600__16,TRUE,TRUE,TRUE,TRUE,FALSE
jails,2056,level_6_code,2056__0__101__2445__0__4,FALSE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_6_code,2056__0__101__2445__0__5,FALSE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_6_code,2056__0__101__486__0__5,FALSE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__800__489__0__5,FALSE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__1__1738__0__16,FALSE,FALSE,TRUE,TRUE,FALSE
jails,2056,level_6_code,2056__0__1__1738__0__17,FALSE,FALSE,TRUE,TRUE,FALSE
jails,2056,level_6_code,2056__0__800__489__0__16,FALSE,FALSE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__911__0__0__0,FALSE,FALSE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__2445__927__99,FALSE,FALSE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__2445__927__5,FALSE,FALSE,TRUE,TRUE,TRUE
jails,2056,level_6_code,2056__0__101__2445__927__4,FALSE,FALSE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__1__2,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__1__5,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__3__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__5__99,TRUE,TRUE,TRUE,TRUE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__99,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__2,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__3__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__1__2,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__5,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__6,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__8,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__1__12,TRUE,TRUE,FALSE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__3__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__14__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__16__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__19__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__1__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__1__2,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__1__2,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__3__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__1__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__1__6,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__1__7,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__1__8,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__16__0,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__17__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__1738__0__1__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__1738__0__1__5,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__6,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__7,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__1__8,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__1738__0__4__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__1738__0__4__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__1__7,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__101__486__0__4__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__4__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__6__2,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__15__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__1__5,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__6,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__7,TRUE,TRUE,TRUE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__8,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__800__489__0__1__12,TRUE,TRUE,FALSE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__4__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__800__489__0__14__0,TRUE,FALSE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__1__172__0__4__3,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__1__172__0__4__99,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__101__486__0__17__1,TRUE,TRUE,TRUE,TRUE,TRUE
jails,2056,level_7_code,2056__0__102__0__0__1__5,TRUE,TRUE,FALSE,FALSE,FALSE
jails,2056,level_7_code,2056__0__102__0__0__1__6,TRUE,TRUE,TRUE,FALSE,FALSE
