category,level,unique_level_heads,2018-19,2019-20,2020-21,2021-22
jails,level_2,jails__null,TRUE,TRUE,TRUE,TRUE
jails,level_2,capital outlay on public works__office buildings,TRUE,TRUE,TRUE,TRUE
jails,level_2,গড়কাপ্তানী বিভাগৰ বাবে মূলধনী বয়$কাৰ্যালয় গৃহ$নিৰ্মাণ - সাধাৰণ পুঁজিৰ ব্যৱস্থা$$$প্ৰধান কামসমূহ$অন্যান্য__capital outlay on public works,TRUE,FALSE,FALSE,FALSE
jails,level_3,jails__null__direction and administration,TRUE,TRUE,TRUE,TRUE
jails,level_3,jails__null__jails,TRUE,TRUE,TRUE,TRUE
jails,level_3,jails__null__jail manufacturers,TRUE,TRUE,TRUE,TRUE
jails,level_3,jails__null__other expenditure,TRUE,TRUE,TRUE,TRUE
jails,level_3,capital outlay on public works__office buildings__construction - general pool accommodation,TRUE,TRUE,TRUE,TRUE
jails,level_3,গড়কাপ্তানী বিভাগৰ বাবে মূলধনী বয়$কাৰ্যালয় গৃহ$নিৰ্মাণ - সাধাৰণ পুঁজিৰ ব্যৱস্থা$$$প্ৰধান কামসমূহ$অন্যান্য__capital outlay on public works__office buildings,TRUE,FALSE,FALSE,FALSE
jails,level_3,jails__null__deduct recoveries of overpayments,FALSE,FALSE,TRUE,TRUE
jails,level_3,capital outlay on public works__office buildings__construction,FALSE,FALSE,FALSE,TRUE
jails,level_4,jails__null__direction and administration__head quarters establishment,TRUE,TRUE,TRUE,TRUE
jails,level_4,jails__null__direction and administration__range,TRUE,TRUE,TRUE,TRUE
jails,level_4,jails__null__jails__district jails,TRUE,TRUE,TRUE,TRUE
jails,level_4,jails__null__jail manufacturers__null,TRUE,TRUE,TRUE,TRUE
jails,level_4,jails__null__other expenditure__open air jails,TRUE,TRUE,TRUE,TRUE
jails,level_4,jails__null__jails__changes for police custody,TRUE,TRUE,TRUE,TRUE
jails,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__jails,TRUE,TRUE,TRUE,TRUE
jails,level_4,গড়কাপ্তানী বিভাগৰ বাবে মূলধনী বয়$কাৰ্যালয় গৃহ$নিৰ্মাণ - সাধাৰণ পুঁজিৰ ব্যৱস্থা$$$প্ৰধান কামসমূহ$অন্যান্য__capital outlay on public works__office buildings__construction - general pool accommodation,TRUE,FALSE,FALSE,FALSE
jails,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,TRUE,TRUE,TRUE,TRUE
jails,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment,FALSE,TRUE,TRUE,TRUE
jails,level_4,jails__null__jails__e-prisons project,FALSE,TRUE,TRUE,TRUE
jails,level_4,jails__null__deduct recoveries of overpayments__null,FALSE,FALSE,TRUE,TRUE
jails,level_4,capital outlay on public works__office buildings__construction__district jails,FALSE,FALSE,FALSE,TRUE
jails,level_4,capital outlay on public works__office buildings__construction__jails,FALSE,FALSE,FALSE,TRUE
jails,level_5,jails__null__direction and administration__head quarters establishment__null,TRUE,TRUE,TRUE,TRUE
jails,level_5,jails__null__direction and administration__range__null,TRUE,TRUE,TRUE,TRUE
jails,level_5,jails__null__jails__district jails__null,TRUE,TRUE,TRUE,TRUE
jails,level_5,jails__null__jail manufacturers__null__null,TRUE,TRUE,TRUE,TRUE
jails,level_5,jails__null__other expenditure__open air jails__null,TRUE,TRUE,TRUE,TRUE
jails,level_5,jails__null__jails__district jails__movement of prisons,TRUE,TRUE,TRUE,TRUE
jails,level_5,jails__null__jails__changes for police custody__movement of prisons,TRUE,TRUE,TRUE,TRUE
jails,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,TRUE,TRUE,TRUE,TRUE
