budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
justice,2018-19,administration of justice__null,2014__0,211.468,414.9691039,425.1851836,465.399703,level_2,administration of justice,2,2,326,Administration Of Justice,revenue expenditure,administration_of_justice
justice,2019-20,administration of justice__null,2014__0,274.5324,465.399703,478.512703,412.2311,level_2,administration of justice,2,2,327,Administration Of Justice,revenue expenditure,administration_of_justice
justice,2020-21,administration of justice__null,2014__0,323.1799,412.2311,442.4418,433.4256,level_2,administration of justice,2,2,328,Administration Of Justice,revenue expenditure,administration_of_justice
justice,2021-22,administration of justice__null,2014__0,348.12089999999995,433.4256,447.8017,507.6612,level_2,administration of justice,2,2,329,Administration Of Justice,revenue expenditure,administration_of_justice
justice,2018-19,taxes on vehicles__null,2041__0,5.917999999999999,9.394486,9.639486,10.235,level_2,taxes on vehicles,2,2,330,Taxes On Vehicles,taxes on vehicles,taxes_on_vehicles
justice,2019-20,taxes on vehicles__null,2041__0,6.7875,10.235,10.625,10.4741,level_2,taxes on vehicles,2,2,331,Taxes On Vehicles,taxes on vehicles,taxes_on_vehicles
justice,2020-21,taxes on vehicles__null,2041__0,8.7775,10.4741,13.1041,12.4498,level_2,taxes on vehicles,2,2,332,Taxes On Vehicles,taxes on vehicles,taxes_on_vehicles
justice,2021-22,taxes on vehicles__null,2041__0,9.3624,12.4498,12.8598,16.6019,level_2,taxes on vehicles,2,2,333,Taxes On Vehicles,taxes on vehicles,taxes_on_vehicles
justice,2018-19,labour & employment__labour,2230__1,2.7335000000000003,4.6406,4.6406,4.3194,level_2,labour & employment__labour,2,2,334,Labour & Employment -> Labour,labour and employment,labour_&_employment_labour
justice,2019-20,labour & employment__labour,2230__1,3.2703,4.3194,4.4447,4.404100000000001,level_2,labour & employment__labour,2,2,335,Labour & Employment -> Labour,labour and employment,labour_&_employment_labour
justice,2020-21,labour & employment__labour,2230__1,3.5584,4.404100000000001,5.0402,4.9275,level_2,labour & employment__labour,2,2,336,Labour & Employment -> Labour,labour and employment,labour_&_employment_labour
justice,2021-22,labour & employment__labour,2230__1,4.2538,4.9275,4.9305,5.8587,level_2,labour & employment__labour,2,2,337,Labour & Employment -> Labour,labour and employment,labour_&_employment_labour
justice,2018-19,capital outlay on public works__office buildings,4059__1,0,73,81,79.2,level_2,capital outlay on public works__office buildings,2,2,338,Capital Outlay On Public Works -> Office Buildings,capital outlay,capital_outlay_on_public_works_office_buildings
justice,2019-20,capital outlay on public works__office buildings,4059__1,45.7346,79.2,108.7217,67.2,level_2,capital outlay on public works__office buildings,2,2,339,Capital Outlay On Public Works -> Office Buildings,capital outlay,capital_outlay_on_public_works_office_buildings
justice,2020-21,capital outlay on public works__office buildings,4059__1,67.3871,67.2,67.2,61.959,level_2,capital outlay on public works__office buildings,2,2,340,Capital Outlay On Public Works -> Office Buildings,capital outlay,capital_outlay_on_public_works_office_buildings
justice,2021-22,capital outlay on public works__office buildings,4059__1,30.7004,61.959,61.959,34.4872,level_2,capital outlay on public works__office buildings,2,2,341,Capital Outlay On Public Works -> Office Buildings,capital outlay,capital_outlay_on_public_works_office_buildings
justice,2018-19,capital outlay on public works__general,4059__80,0,77,77,35,level_2,capital outlay on public works__general,2,2,342,Capital Outlay On Public Works -> General,capital outlay,capital_outlay_on_public_works_general
justice,2019-20,capital outlay on public works__general,4059__80,20.8022,35,35,35,level_2,capital outlay on public works__general,2,2,343,Capital Outlay On Public Works -> General,capital outlay,capital_outlay_on_public_works_general
justice,2020-21,capital outlay on public works__general,4059__80,23.6789,35,35,29.565,level_2,capital outlay on public works__general,2,2,344,Capital Outlay On Public Works -> General,capital outlay,capital_outlay_on_public_works_general
justice,2021-22,capital outlay on public works__general,4059__80,26.2584,29.565,29.565,22.5169,level_2,capital outlay on public works__general,2,2,345,Capital Outlay On Public Works -> General,capital outlay,capital_outlay_on_public_works_general
justice,2018-19,capital outlay on housing__government residential buildings,4216__1,0,36.611999999999995,36.611999999999995,34,level_2,capital outlay on housing__government residential buildings,2,2,346,Capital Outlay On Housing -> Government Residential Buildings,capital outlay,capital_outlay_on_housing_government_residential_buildings
justice,2019-20,capital outlay on housing__government residential buildings,4216__1,7.220599999999999,34,34,35,level_2,capital outlay on housing__government residential buildings,2,2,347,Capital Outlay On Housing -> Government Residential Buildings,capital outlay,capital_outlay_on_housing_government_residential_buildings
justice,2020-21,capital outlay on housing__government residential buildings,4216__1,18.173,35,35,31.705,level_2,capital outlay on housing__government residential buildings,2,2,348,Capital Outlay On Housing -> Government Residential Buildings,capital outlay,capital_outlay_on_housing_government_residential_buildings
justice,2021-22,capital outlay on housing__government residential buildings,4216__1,20.7834,31.705,31.705,24.1318,level_2,capital outlay on housing__government residential buildings,2,2,349,Capital Outlay On Housing -> Government Residential Buildings,capital outlay,capital_outlay_on_housing_government_residential_buildings
justice,2018-19,administration of justice__null__high courts,2014__0__102,52.364,59.6330882,62.4630882,59.9187,level_3,administration of justice__high courts,3,3,350,Administration Of Justice -> High Courts,high courts,administration_of_justice_high_courts
justice,2019-20,administration of justice__null__high courts,2014__0__102,54.26480000000001,59.9187,67.56869999999999,73.8306,level_3,administration of justice__high courts,3,3,351,Administration Of Justice -> High Courts,high courts,administration_of_justice_high_courts
justice,2020-21,administration of justice__null__high courts,2014__0__102,60.3196,73.8306,76.3306,79.2416,level_3,administration of justice__high courts,3,3,352,Administration Of Justice -> High Courts,high courts,administration_of_justice_high_courts
justice,2021-22,administration of justice__null__high courts,2014__0__102,67.1865,79.2416,79.2416,84.44139999999999,level_3,administration of justice__high courts,3,3,353,Administration Of Justice -> High Courts,high courts,administration_of_justice_high_courts
justice,2018-19,administration of justice__null__civil and session courts,2014__0__105,77.84609999999999,172.631077,176.18107700000002,203.203952,level_3,administration of justice__civil and session courts,3,3,354,Administration Of Justice -> Civil And Session Courts,civil and sessions court,administration_of_justice_civil_and_session_courts
justice,2019-20,administration of justice__null__civil and session courts,2014__0__105,101.04890000000002,203.203952,206.933952,157.0674,level_3,administration of justice__civil and session courts,3,3,355,Administration Of Justice -> Civil And Session Courts,civil and sessions court,administration_of_justice_civil_and_session_courts
justice,2020-21,administration of justice__null__civil and session courts,2014__0__105,131.3449,157.0674,173.53509999999997,172.13899999999998,level_3,administration of justice__civil and session courts,3,3,356,Administration Of Justice -> Civil And Session Courts,civil and sessions court,administration_of_justice_civil_and_session_courts
justice,2021-22,administration of justice__null__civil and session courts,2014__0__105,135.59269999999998,172.13899999999998,178.48899999999998,175.095,level_3,administration of justice__civil and session courts,3,3,357,Administration Of Justice -> Civil And Session Courts,civil and sessions court,administration_of_justice_civil_and_session_courts
justice,2018-19,administration of justice__null__criminal courts,2014__0__108,55.9333,88.8293032,92.2493032,95.274756,level_3,administration of justice__criminal courts,3,3,358,Administration Of Justice -> Criminal Courts,criminal courts,administration_of_justice_criminal_courts
