budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
police,2018-19,police__null,2055__0,2827.2762,4449.78505,4956.65255,4917.68775,level_2,police,2,2,1241,Police,revenue expenditure,police
police,2019-20,police__null,2055__0,3456.3335,4917.68775,5077.49265,5659.4572,level_2,police,2,2,1242,Police,revenue expenditure,police
police,2020-21,police__null,2055__0,3871.1149,5659.4572,5810.8171999999995,4566.237700000001,level_2,police,2,2,1243,Police,revenue expenditure,police
police,2021-22,police__null,2055__0,4098.2524,4566.237700000001,4973.1899,5004.905900000001,level_2,police,2,2,1244,Police,revenue expenditure,police
police,2022-23,police__null,2055__0,4101.62,5004.905900000001,5155.4582,6486.5923999999995,level_2,police,2,2,1245,Police,revenue expenditure,police
police,2018-19,capital outlay on police__null,4055__0,0.579,181.9505,182.3344,188.6677,level_2,capital outlay on police,2,2,1246,Capital Outlay On Police,capital outlay,capital_outlay_on_police
police,2019-20,capital outlay on police__null,4055__0,156.9691,188.6677,188.6677,173.50009999999995,level_2,capital outlay on police,2,2,1247,Capital Outlay On Police,capital outlay,capital_outlay_on_police
police,2020-21,capital outlay on police__null,4055__0,109.0783,173.50009999999995,173.50119999999998,217.0188,level_2,capital outlay on police,2,2,1248,Capital Outlay On Police,capital outlay,capital_outlay_on_police
police,2021-22,capital outlay on police__null,4055__0,19.8206,217.0188,229.3693,176.9727,level_2,capital outlay on police,2,2,1249,Capital Outlay On Police,capital outlay,capital_outlay_on_police
police,2022-23,capital outlay on police__null,4055__0,-4.989299999999999,176.9727,177.0227,434.0044999999999,level_2,capital outlay on police,2,2,1250,Capital Outlay On Police,capital outlay,capital_outlay_on_police
police,2018-19,police__null__forensic science,2055__0__116,5.8629999999999995,12.1357,12.1357,13.28605,level_3,police__forensic science,3,3,1251,Police -> Forensic Science,forensic science,police_forensic_science
police,2019-20,police__null__forensic science,2055__0__116,6.903099999999999,13.28605,13.28605,11.9322,level_3,police__forensic science,3,3,1252,Police -> Forensic Science,forensic science,police_forensic_science
police,2020-21,police__null__forensic science,2055__0__116,7.5993,11.9322,12.0044,13.6896,level_3,police__forensic science,3,3,1253,Police -> Forensic Science,forensic science,police_forensic_science
police,2021-22,police__null__forensic science,2055__0__116,9.1138,13.6896,13.8027,18.9362,level_3,police__forensic science,3,3,1254,Police -> Forensic Science,forensic science,police_forensic_science
police,2022-23,police__null__forensic science,2055__0__116,8.3416,18.9362,18.9362,25.8485,level_3,police__forensic science,3,3,1255,Police -> Forensic Science,forensic science,police_forensic_science
police,2018-19,police__null__direction and administration,2055__0__1,54.738,67.7059,73.8433,89.48440000000001,level_3,police__direction and administration,3,3,1256,Police -> Direction And Administration,direction and administration,police_direction_and_administration
police,2019-20,police__null__direction and administration,2055__0__1,25.9827,89.48440000000001,101.017,81.9021,level_3,police__direction and administration,3,3,1257,Police -> Direction And Administration,direction and administration,police_direction_and_administration
police,2020-21,police__null__direction and administration,2055__0__1,51.530199999999994,81.9021,95.6002,116.9171,level_3,police__direction and administration,3,3,1258,Police -> Direction And Administration,direction and administration,police_direction_and_administration
police,2021-22,police__null__direction and administration,2055__0__1,61.0057,116.9171,124.9873,116.3387,level_3,police__direction and administration,3,3,1259,Police -> Direction And Administration,direction and administration,police_direction_and_administration
police,2022-23,police__null__direction and administration,2055__0__1,42.4768,116.3387,123.4518,69.8566,level_3,police__direction and administration,3,3,1260,Police -> Direction And Administration,direction and administration,police_direction_and_administration
police,2018-19,police__null__education and training,2055__0__3,26.2439,35.6238,46.4238,51.6817,level_3,police__education and training,3,3,1261,Police -> Education And Training,education and training,police_education_and_training
