budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,display_title,category
jails,2018-19,jails__null,2056__0,6731.16,7681.81,8587.9,9754.04,level_2,jails,2,2,Jails,total
jails,2019-20,jails__null,2056__0,6976.360000000001,9754.04,10306.54,11388.56,level_2,jails,2,2,Jails,total
jails,2020-21,jails__null,2056__0,8140.1500000000005,11388.56,11596.31,9653,level_2,jails,2,2,Jails,total
jails,2021-22,jails__null,2056__0,8093.86,9653,9741.24,8975.2,level_2,jails,2,2,Jails,total
jails,2018-19,jails__null__direction and administration,2056__0__1,243.5,558.03,593.89,744.78,level_3,jails__direction and administration,3,3,Jails - Direction And Administration,direction and administration
jails,2019-20,jails__null__direction and administration,2056__0__1,265.36,744.78,768.78,1101.65,level_3,jails__direction and administration,3,3,Jails - Direction And Administration,direction and administration
jails,2020-21,jails__null__direction and administration,2056__0__1,454.62,1101.65,1153.4,476.47,level_3,jails__direction and administration,3,3,Jails - Direction And Administration,direction and administration
jails,2021-22,jails__null__direction and administration,2056__0__1,343.89,476.47,508.78000000000003,459.8,level_3,jails__direction and administration,3,3,Jails - Direction And Administration,direction and administration
jails,2018-19,jails__null__jails,2056__0__101,6297.93,6879.04,7692.64,8684.1,level_3,jails__jails,3,3,Jails - Jails,jails
jails,2019-20,jails__null__jails,2056__0__101,6482.47,8684.1,9212.6,9903.460000000001,level_3,jails__jails,3,3,Jails - Jails,jails
jails,2020-21,jails__null__jails,2056__0__101,7465,9903.460000000001,10059.460000000001,8855.79,level_3,jails__jails,3,3,Jails - Jails,jails
jails,2021-22,jails__null__jails,2056__0__101,7498.969999999999,8855.79,8911.72,8104.200000000001,level_3,jails__jails,3,3,Jails - Jails,jails
jails,2018-19,jails__null__jail manufacturers,2056__0__102,110.24000000000001,152.13,180.88,201.92,level_3,jails__jail manufacturers,3,3,Jails - Jail Manufacturers,jail manufacturers
jails,2019-20,jails__null__jail manufacturers,2056__0__102,147.06,201.92,201.92,221.28,level_3,jails__jail manufacturers,3,3,Jails - Jail Manufacturers,jail manufacturers
jails,2020-21,jails__null__jail manufacturers,2056__0__102,112.67999999999999,221.28,221.28,178.8,level_3,jails__jail manufacturers,3,3,Jails - Jail Manufacturers,jail manufacturers
jails,2021-22,jails__null__jail manufacturers,2056__0__102,139.76,178.8,178.8,281.52,level_3,jails__jail manufacturers,3,3,Jails - Jail Manufacturers,jail manufacturers
jails,2018-19,jails__null__other expenditure,2056__0__800,79.49,92.61,120.49,123.24,level_3,jails__other expenditure,3,3,Jails - Other Expenditure,other expenditure
jails,2019-20,jails__null__other expenditure,2056__0__800,81.47,123.24,123.24,162.17,level_3,jails__other expenditure,3,3,Jails - Other Expenditure,other expenditure
jails,2020-21,jails__null__other expenditure,2056__0__800,108.45,162.17,162.17,141.94,level_3,jails__other expenditure,3,3,Jails - Other Expenditure,other expenditure
jails,2021-22,jails__null__other expenditure,2056__0__800,113.25,141.94,141.94,129.68,level_3,jails__other expenditure,3,3,Jails - Other Expenditure,other expenditure
jails,2018-19,jails__null__direction and administration__head quarters establishment,2056__0__1__172,195.54000000000002,497.86,518.12,671.15,level_4,jails__direction and administration__head quarters establishment,4,4,Jails - Direction And Administration - Head Quarters Establishment,direction and administration
jails,2019-20,jails__null__direction and administration__head quarters establishment,2056__0__1__172,209.98999999999998,671.15,695.15,1024.16,level_4,jails__direction and administration__head quarters establishment,4,4,Jails - Direction And Administration - Head Quarters Establishment,direction and administration
jails,2020-21,jails__null__direction and administration__head quarters establishment,2056__0__1__172,401.95,1024.16,1064.16,387.58,level_4,jails__direction and administration__head quarters establishment,4,4,Jails - Direction And Administration - Head Quarters Establishment,direction and administration
jails,2021-22,jails__null__direction and administration__head quarters establishment,2056__0__1__172,266.86,387.58,419.89,377.24,level_4,jails__direction and administration__head quarters establishment,4,4,Jails - Direction And Administration - Head Quarters Establishment,direction and administration
jails,2018-19,jails__null__direction and administration__range,2056__0__1__1738,47.96,60.17,75.77,73.63,level_4,jails__direction and administration__range,4,4,Jails - Direction And Administration - Range,direction and administration
jails,2019-20,jails__null__direction and administration__range,2056__0__1__1738,55.37,73.63,73.63,77.49,level_4,jails__direction and administration__range,4,4,Jails - Direction And Administration - Range,direction and administration
jails,2020-21,jails__null__direction and administration__range,2056__0__1__1738,52.67,77.49,89.24,88.89,level_4,jails__direction and administration__range,4,4,Jails - Direction And Administration - Range,direction and administration
jails,2021-22,jails__null__direction and administration__range,2056__0__1__1738,77.03,88.89,88.89,82.56,level_4,jails__direction and administration__range,4,4,Jails - Direction And Administration - Range,direction and administration
jails,2018-19,jails__null__jails__district jails,2056__0__101__486,5942.61,6569.54,7383.14,8223.7,level_4,jails__jails__district jails,4,4,Jails - Jails - District Jails,district jails
jails,2019-20,jails__null__jails__district jails,2056__0__101__486,6173.7,8223.7,8223.7,8913.26,level_4,jails__jails__district jails,4,4,Jails - Jails - District Jails,district jails
jails,2020-21,jails__null__jails__district jails,2056__0__101__486,6487.18,8913.26,8990.26,7871.07,level_4,jails__jails__district jails,4,4,Jails - Jails - District Jails,district jails
jails,2021-22,jails__null__jails__district jails,2056__0__101__486,6996.8099999999995,7871.07,7903.09,7620.9800000000005,level_4,jails__jails__district jails,4,4,Jails - Jails - District Jails,district jails
jails,2018-19,jails__null__other expenditure__open air jails,2056__0__800__489,79.49,92.61,120.49,123.24,level_4,jails__other expenditure__open air jails,4,4,Jails - Other Expenditure - Open Air Jails,open-air jails
jails,2019-20,jails__null__other expenditure__open air jails,2056__0__800__489,81.47,123.24,123.24,162.17,level_4,jails__other expenditure__open air jails,4,4,Jails - Other Expenditure - Open Air Jails,open-air jails
jails,2020-21,jails__null__other expenditure__open air jails,2056__0__800__489,108.45,162.17,162.17,141.94,level_4,jails__other expenditure__open air jails,4,4,Jails - Other Expenditure - Open Air Jails,open-air jails
jails,2021-22,jails__null__other expenditure__open air jails,2056__0__800__489,113.25,141.94,141.94,129.68,level_4,jails__other expenditure__open air jails,4,4,Jails - Other Expenditure - Open Air Jails,open-air jails
jails,2018-19,jails__null__jails__changes for police custody,2056__0__101__487,355.32,309.5,309.5,460.4,level_4,jails__jails__changes for police custody,4,4,Jails - Jails - Changes For Police Custody,jails
jails,2019-20,jails__null__jails__changes for police custody,2056__0__101__487,308.77,460.4,823.9,825.2,level_4,jails__jails__changes for police custody,4,4,Jails - Jails - Changes For Police Custody,jails
jails,2020-21,jails__null__jails__changes for police custody,2056__0__101__487,812.82,825.2,825.2,769.63,level_4,jails__jails__changes for police custody,4,4,Jails - Jails - Changes For Police Custody,jails
jails,2021-22,jails__null__jails__changes for police custody,2056__0__101__487,502.15999999999997,769.63,769.63,289.63,level_4,jails__jails__changes for police custody,4,4,Jails - Jails - Changes For Police Custody,jails
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4059__1__101__1484,0,656.34,656.34,1636.09,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4,4,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails,capital outlay
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4059__1__101__1484,81.09,1636.09,1636.09,2021.14,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4,4,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails,capital outlay
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4059__1__101__1484,658.39,2021.14,2021.14,1701.58,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4,4,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails,capital outlay
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4059__1__101__1484,1624.15,1701.58,1701.58,0,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__jails,4,4,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails,capital outlay
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,0,60,60,93.11,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4,4,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - District Jails,capital outlay
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,35.77,93.11,93.11,100,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4,4,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - District Jails,capital outlay
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,66.83,100,100,59.85,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4,4,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - District Jails,capital outlay
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,84.63,59.85,59.85,0,level_4,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4,4,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - District Jails,capital outlay
jails,2018-19,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,36.69,51.23,79.83,67.9,level_5,jails__jails__district jails__movement of prisons,5,5,Jails - Jails - District Jails - Movement Of Prisons,district jails
jails,2019-20,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,59.09,67.9,67.9,69.75,level_5,jails__jails__district jails__movement of prisons,5,5,Jails - Jails - District Jails - Movement Of Prisons,district jails
jails,2020-21,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,48.76,69.75,74.25,80.96000000000001,level_5,jails__jails__district jails__movement of prisons,5,5,Jails - Jails - District Jails - Movement Of Prisons,district jails
jails,2021-22,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,67.89,80.96000000000001,81.98,74.43,level_5,jails__jails__district jails__movement of prisons,5,5,Jails - Jails - District Jails - Movement Of Prisons,district jails
jails,2018-19,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,355.32,309.5,309.5,460.4,level_5,jails__jails__changes for police custody__movement of prisons,5,5,Jails - Jails - Changes For Police Custody - Movement Of Prisons,jails
jails,2019-20,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,308.77,460.4,823.9,825.2,level_5,jails__jails__changes for police custody__movement of prisons,5,5,Jails - Jails - Changes For Police Custody - Movement Of Prisons,jails
jails,2020-21,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,812.82,825.2,825.2,769.63,level_5,jails__jails__changes for police custody__movement of prisons,5,5,Jails - Jails - Changes For Police Custody - Movement Of Prisons,jails
jails,2021-22,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,502.15999999999997,769.63,769.63,289.63,level_5,jails__jails__changes for police custody__movement of prisons,5,5,Jails - Jails - Changes For Police Custody - Movement Of Prisons,jails
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,0,32.53,32.53,38,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,5,5,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Modernisation Of Prison Administration,capital outlay
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,16.56,38,38,21.14,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,5,5,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Modernisation Of Prison Administration,capital outlay
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,0,21.14,21.14,10.08,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,5,5,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Modernisation Of Prison Administration,capital outlay
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,10.54,10.08,10.08,0,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,5,5,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Modernisation Of Prison Administration,capital outlay
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,0,128.81,128.81,217.15,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,5,5,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Genl. Security Related Expenditure,capital outlay
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,0,217.15,217.15,200,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,5,5,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Genl. Security Related Expenditure,capital outlay
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,142.68,200,200,141.28,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,5,5,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Genl. Security Related Expenditure,capital outlay
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,102.59,141.28,141.28,0,level_5,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,5,5,Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Genl. Security Related Expenditure,capital outlay
jails,2018-19,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,0,495,495,1380.94,level_5,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",5,5,"Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Works (Construction Of 11 Numbers Of Staff Quarters & Expenses On Construction Of Prisoners Barrack, Kitchen, Dining Room, Latrine, Master Drain, Etc.)",capital outlay
jails,2019-20,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,64.53,1380.94,1380.94,1800,level_5,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",5,5,"Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Works (Construction Of 11 Numbers Of Staff Quarters & Expenses On Construction Of Prisoners Barrack, Kitchen, Dining Room, Latrine, Master Drain, Etc.)",capital outlay
jails,2020-21,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,515.71,1800,1800,1550.22,level_5,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",5,5,"Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Works (Construction Of 11 Numbers Of Staff Quarters & Expenses On Construction Of Prisoners Barrack, Kitchen, Dining Room, Latrine, Master Drain, Etc.)",capital outlay
jails,2021-22,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,1511.02,1550.22,1550.22,0,level_5,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",5,5,"Capital Outlay On Public Works - Office Buildings - Construction - General Pool Accommodation - Jails - Works (Construction Of 11 Numbers Of Staff Quarters & Expenses On Construction Of Prisoners Barrack, Kitchen, Dining Room, Latrine, Master Drain, Etc.)",capital outlay
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,158.77,190.95,211.21,210.67,level_6,jails__direction and administration__head quarters establishment__salaries,6,6,Jails - Direction And Administration - Head Quarters Establishment - Salaries,direction and administration
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,172.7,210.67,210.67,229.48,level_6,jails__direction and administration__head quarters establishment__salaries,6,6,Jails - Direction And Administration - Head Quarters Establishment - Salaries,direction and administration
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,183.59,229.48,229.48,222.46,level_6,jails__direction and administration__head quarters establishment__salaries,6,6,Jails - Direction And Administration - Head Quarters Establishment - Salaries,direction and administration
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,197.4,222.46,222.46,219.03,level_6,jails__direction and administration__head quarters establishment__salaries,6,6,Jails - Direction And Administration - Head Quarters Establishment - Salaries,direction and administration
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.5,3.85,3.85,4.24,level_6,jails__direction and administration__head quarters establishment__travel expenses,6,6,Jails - Direction And Administration - Head Quarters Establishment - Travel Expenses,direction and administration
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.4,4.24,4.24,4.24,level_6,jails__direction and administration__head quarters establishment__travel expenses,6,6,Jails - Direction And Administration - Head Quarters Establishment - Travel Expenses,direction and administration
