budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,display_title,category
justice,2018-19,administration of justice__null,2014__0,21146.8,41496.91039,42518.51836,46539.9703,level_2,administration of justice,2,2,Administration Of Justice,total
justice,2019-20,administration of justice__null,2014__0,27453.24,46539.9703,47851.2703,41223.11,level_2,administration of justice,2,2,Administration Of Justice,total
justice,2020-21,administration of justice__null,2014__0,32317.989999999998,41223.11,44244.18,43342.56,level_2,administration of justice,2,2,Administration Of Justice,total
justice,2021-22,administration of justice__null,2014__0,34812.09,43342.56,44780.17,50766.12,level_2,administration of justice,2,2,Administration Of Justice,total
justice,2018-19,taxes on vehicles__null,2041__0,591.8,939.4486,963.9486,1023.5,level_2,taxes on vehicles,2,2,Taxes On Vehicles,taxes on vehicles
justice,2019-20,taxes on vehicles__null,2041__0,678.75,1023.5,1062.5,1047.41,level_2,taxes on vehicles,2,2,Taxes On Vehicles,taxes on vehicles
justice,2020-21,taxes on vehicles__null,2041__0,877.75,1047.41,1310.41,1244.98,level_2,taxes on vehicles,2,2,Taxes On Vehicles,taxes on vehicles
justice,2021-22,taxes on vehicles__null,2041__0,936.24,1244.98,1285.98,1660.19,level_2,taxes on vehicles,2,2,Taxes On Vehicles,taxes on vehicles
justice,2018-19,labour & employment__labour,2230__1,273.35,464.06,464.06,431.94,level_2,labour & employment__labour,2,2,Labour & Employment - Labour,labour and employment
justice,2019-20,labour & employment__labour,2230__1,327.03,431.94,444.47,440.41,level_2,labour & employment__labour,2,2,Labour & Employment - Labour,labour and employment
justice,2020-21,labour & employment__labour,2230__1,355.84000000000003,440.41,504.02,492.75,level_2,labour & employment__labour,2,2,Labour & Employment - Labour,labour and employment
justice,2021-22,labour & employment__labour,2230__1,425.38,492.75,493.05,585.87,level_2,labour & employment__labour,2,2,Labour & Employment - Labour,labour and employment
justice,2018-19,capital outlay on public works__general,4059__80,0,7700,7700,3500,level_2,capital outlay on public works__general,2,2,Capital Outlay On Public Works - General,capital outlay
justice,2019-20,capital outlay on public works__general,4059__80,2080.22,3500,3500,3500,level_2,capital outlay on public works__general,2,2,Capital Outlay On Public Works - General,capital outlay
justice,2020-21,capital outlay on public works__general,4059__80,2367.89,3500,3500,2956.5,level_2,capital outlay on public works__general,2,2,Capital Outlay On Public Works - General,capital outlay
justice,2021-22,capital outlay on public works__general,4059__80,2625.84,2956.5,2956.5,2251.69,level_2,capital outlay on public works__general,2,2,Capital Outlay On Public Works - General,capital outlay
justice,2018-19,capital outlay on housing__government residential buildings,4216__1,0,3661.2,3661.2,3400,level_2,capital outlay on housing__government residential buildings,2,2,Capital Outlay On Housing - Government Residential Buildings,capital outlay
justice,2019-20,capital outlay on housing__government residential buildings,4216__1,722.06,3400,3400,3500,level_2,capital outlay on housing__government residential buildings,2,2,Capital Outlay On Housing - Government Residential Buildings,capital outlay
justice,2020-21,capital outlay on housing__government residential buildings,4216__1,1817.3000000000002,3500,3500,3170.5,level_2,capital outlay on housing__government residential buildings,2,2,Capital Outlay On Housing - Government Residential Buildings,capital outlay
justice,2021-22,capital outlay on housing__government residential buildings,4216__1,2078.34,3170.5,3170.5,2413.18,level_2,capital outlay on housing__government residential buildings,2,2,Capital Outlay On Housing - Government Residential Buildings,capital outlay
justice,2018-19,administration of justice__null__high courts,2014__0__102,5236.4,5963.30882,6246.30882,5991.87,level_3,administration of justice__high courts,3,3,Administration Of Justice - High Courts,high courts
justice,2019-20,administration of justice__null__high courts,2014__0__102,5426.4800000000005,5991.87,6756.87,7383.06,level_3,administration of justice__high courts,3,3,Administration Of Justice - High Courts,high courts
justice,2020-21,administration of justice__null__high courts,2014__0__102,6031.96,7383.06,7633.06,7924.16,level_3,administration of justice__high courts,3,3,Administration Of Justice - High Courts,high courts
justice,2021-22,administration of justice__null__high courts,2014__0__102,6718.65,7924.16,7924.16,8444.14,level_3,administration of justice__high courts,3,3,Administration Of Justice - High Courts,high courts
justice,2018-19,administration of justice__null__civil and session courts,2014__0__105,7784.61,17263.1077,17618.1077,20320.3952,level_3,administration of justice__civil and session courts,3,3,Administration Of Justice - Civil And Session Courts,civil and sessions court
justice,2019-20,administration of justice__null__civil and session courts,2014__0__105,10104.890000000001,20320.3952,20693.3952,15706.74,level_3,administration of justice__civil and session courts,3,3,Administration Of Justice - Civil And Session Courts,civil and sessions court
justice,2020-21,administration of justice__null__civil and session courts,2014__0__105,13134.49,15706.74,17353.51,17213.899999999998,level_3,administration of justice__civil and session courts,3,3,Administration Of Justice - Civil And Session Courts,civil and sessions court
justice,2021-22,administration of justice__null__civil and session courts,2014__0__105,13559.269999999999,17213.899999999998,17848.899999999998,17509.5,level_3,administration of justice__civil and session courts,3,3,Administration Of Justice - Civil And Session Courts,civil and sessions court
