Ministry,Head,Scheme,schemeID,Budget 2016-2017 _Revenue,Budget 2016-2017 _Capital,Budget 2016-2017 _Total,Revised 2016-2017 _Revenue,Revised 2016-2017 _Capital,Revised 2016-2017 _Total,Actual 2016-2017 _Revenue,Actual 2016-2017 _Capital,Actual 2016-2017 _Total,Budget 2017-2018 _Revenue,Budget 2017-2018 _Capital,Budget 2017-2018 _Total,Revised 2017-2018 _Revenue,Revised 2017-2018 _Capital,Revised 2017-2018 _Total,Actual 2017-2018 _Revenue,Actual 2017-2018 _Capital,Actual 2017-2018 _Total,Budget 2018-2019 _Revenue,Budget 2018-2019 _Capital,Budget 2018-2019 _Total,Revised 2018-2019 _Revenue,Revised 2018-2019 _Capital,Revised 2018-2019 _Total,Actual 2018-2019 _Revenue,Actual 2018-2019 _Capital,Actual 2018-2019 _Total,Budget 2019-2020 _Revenue,Budget 2019-2020 _Capital,Budget 2019-2020 _Total,Revised 2019-2020 _Revenue,Revised 2019-2020 _Capital,Revised 2019-2020 _Total,Actual 2019-2020 _Revenue,Actual 2019-2020 _Capital,Actual 2019-2020 _Total,Budget 2020-2021 _Revenue,Budget 2020-2021 _Capital,Budget 2020-2021 _Total,Revised 2020-2021 _Revenue,Revised 2020-2021 _Capital,Revised 2020-2021 _Total,Actual 2020-2021 _Revenue,Actual 2020-2021 _Capital,Actual 2020-2021 _Total,Budget  2021-2022 _Revenue,Budget  2021-2022 _Capital,Budget  2021-2022 _Total,Revised 2021-2022 _Revenue,Revised 2021-2022 _Capital,Revised 2021-2022 _Total,Budget  2022-2023 _Revenue,Budget  2022-2023 _Capital,Budget  2022-2023 _Total
Law and Justice,Secretariat,Secretariat,L1,221.43,0.32,221.75,194.33,0.32,194.65,178.61,0,178.61,209.69,0.27,209.96,219.7,0,219.7,195.18,0,195.18,187.71,0,187.71,193.91,0,193.91,184.28,0,184.28,215.37,0,215.37,215.37,0,215.37,199.28,0,199.28,225.37,0,225.37,207.01,0,207.01,182.43,0,182.43,217.7,0,217.7,225.58,0,225.58,243.78,0,243.78
Law and Justice,Social Security and Welfare,Social Security and Welfare,L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2
Law and Justice,Tax Tribunals,Tax Tribunals,L3,73.48,87.69,161.17,85.01,30,115.01,79.25,7.72,86.97,98.35,71,169.35,96.34,31,127.34,84.58,28.06,112.64,90.35,70,160.35,102.85,70,172.85,94.25,20.59,114.84,108.93,110,218.93,108.93,35,143.93,99.53,24.65,124.18,122.9,50,172.9,112.7,136,248.7,95.81,0,95.81,119.3,100,219.3,118.35,122,240.35,122,115,237
Law and Justice,Action Research and Studies on Judicial Reforms,Action Research and Studies on Judicial Reforms,L4,9,0,9,9,0,9,7,0,7,9.5,0,9.5,5.2,0,5.2,5.2,0,5.2,17,0,17,17,0,17,15.3,0,15.3,35.73,0,35.73,30,0,30,30.16,0,30.16,35.73,0,35.73,35,0,35,33.92,0,33.92,0,0,0,0,0,0,0,0,0
Law and Justice,Designing Innovative Solutions for Holistic Access to Justice in India(DISHA),Designing Innovative Solutions for Holistic Access to Justice in India(DISHA),L5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,40,0,40,40,0,40
Law and Justice,e-Courts Phase II,e-Courts Phase II,L6,286,0,286,364.45,0,364.45,345.07,0,345.07,416,0,416,375,0,375,374.11,0,374.11,480,0,480,300,0,300,269.64,0,269.64,256.53,0,256.53,180,0,180,179.26,0,179.26,250,0,250,180,0,180,179.3,0,179.3,98.82,0,98.82,98.82,0,98.82,0,0,0
Law and Justice,e-Courts Phase III,e-Courts Phase III,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,1
Law and Justice,Strengthening of Access to Justice in India (SAJI),Total Strengthening of Access to Justice in India (SAJI),L8,5,0,5,6.45,0,6.45,6.39,0,6.39,7,0,7,7,0,7,6.39,0,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Law and Justice,"International Centre for Alternative Dispute Resolution(ICADR)				","International Centre for Alternative Dispute Resolution(ICADR)				",L9,0.01,0,0.01,0.01,0,0.01,0,0,0,0.01,0,0.01,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Law and Justice,National Judicial Academy,National Judicial Academy,L10,20.74,0,20.74,14,0,14,14,0,14,16,0,16,16,0,16,16,0,16,11.15,0,11.15,11.15,0,11.15,11.15,0,11.15,11,0,11,16,0,16,15,0,15,11,0,11,11,0,11,10,0,10,11,0,11,34.25,0,34.25,20,0,20
Law and Justice,National Legal Services Authority,National Legal Services Authority,L11,140,0,140,83.95,0,83.95,63.67,0,63.67,100,0,100,100,0,100,100,0,100,80,0,80,150,0,150,150,0,150,140,0,140,140,0,140,140,0,140,100,0,100,100,0,100,100,0,100,100,0,100,145,0,145,170,0,170
Law and Justice,Indian Law Institute (ILI),Indian Law Institute (ILI),L12,5.31,0,5.31,1,0,1,1,0,1,2,0,2,2,0,2,0,0,0,3,0,3,4,0,4,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3,10,0,10,3.5,0,3.5
Law and Justice,New Delhi International Arbitration Centre,New Delhi International Arbitration Centre,L13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1.25,0,1.25,0,0,0,1,0,1,1,0,1,3,0,3
Law and Justice,Institute of Constitutional and Parliamentary Studies (ICPS),Institute of Constitutional and Parliamentary Studies (ICPS),L14,1.72,0,1.72,1.72,0,1.72,0,0,0,0.02,0,0.02,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,1.5,0,1.5,0,0,0
Law and Justice,Gram Nyayalayas,Gram Nyayalayas,L15,5,0,5,5,0,5,5,0,5,8,0,8,8,0,8,8,0,8,8,0,8,8,0,8,8,0,8,10,0,10,8,0,8,0,0,0,8,0,8,6,0,6,0,0,0,8,0,8,8,0,8,0,0,0
Law and Justice,Infrastructure Facilities for Judiciary,Infrastructure Facilities for Judiciary,L16,595.01,0,595.01,538.76,0,538.76,536.81,0,536.81,621.21,0,621.21,621.21,0,621.21,621.21,0,621.21,622,0,622,650,0,650,648.69,0,648.69,710,0,710,982,0,982,990,0,990,754,0,754,593,0,593,599,0,599,776,0,776,770.44,0,770.44,858,0,858
Law and Justice,Fast Track Special Courts,Fast Track Special Courts,L17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,140,0,140,0,0,0,150,0,150,160,0,160,0,0,0,200,0,200,180,0,180,200,0,200
Law and Justice,Fast Track Special Courts,Met from Nirbhaya Fund,L18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-100,-140,0,-140,0,0,0,-150,0,-150,-160,0,-160,0,0,0,-200,0,-200,-180,0,-180,-200,0,-200
Law and Justice,Organs of Elections,Lok Sabha Elections,L19,1761.43,0,1761.43,1761.43,0,1761.43,1761.42,0,1761.42,876,0,876,549.85,0,549.85,549.84,0,549.84,470,0,470,470,0,470,474.25,0,474.25,1000,0,1000,950.51,0,950.51,950.51,0,950.51,200,0,200,14,0,14,13.87,0,13.87,100,0,100,1300,0,1300,180,0,180
Law and Justice,Organs of Elections,Identity Cards to Voters,L20,40,0,40,40,0,40,40,0,40,100,0,100,50,0,50,50,0,50,100,0,100,60,0,60,59.98,0,59.98,90,0,90,90,0,90,90,0,90,54,0,54,12,0,12,12,0,12,7.2,0,7.2,15.76,0,15.76,18,0,18
