Ministry,Head,Scheme,schemeID,Budget 2016-2017 _Revenue,Budget 2016-2017 _Capital,Budget 2016-2017 _Total,Revised 2016-2017 _Revenue,Revised 2016-2017 _Capital,Revised 2016-2017 _Total,Actual 2016-2017 _Revenue,Actual 2016-2017 _Capital,Actual 2016-2017 _Total,Budget 2017-2018 _Revenue,Budget 2017-2018 _Capital,Budget 2017-2018 _Total,Revised 2017-2018 _Revenue,Revised 2017-2018 _Capital,Revised 2017-2018 _Total,Actual 2017-2018 _Revenue,Actual 2017-2018 _Capital,Actual 2017-2018 _Total,Budget 2018-2019 _Revenue,Budget 2018-2019 _Capital,Budget 2018-2019 _Total,Revised 2018-2019 _Revenue,Revised 2018-2019 _Capital,Revised 2018-2019 _Total,Actual 2018-2019 _Revenue,Actual 2018-2019 _Capital,Actual 2018-2019 _Total,Budget 2019-2020 _Revenue,Budget 2019-2020 _Capital,Budget 2019-2020 _Total,Revised 2019-2020 _Revenue,Revised 2019-2020 _Capital,Revised 2019-2020 _Total,Actual 2019-2020 _Revenue,Actual 2019-2020 _Capital,Actual 2019-2020 _Total,Budget 2020-2021 _Revenue,Budget 2020-2021 _Capital,Budget 2020-2021 _Total,Revised 2020-2021 _Revenue,Revised 2020-2021 _Capital,Revised 2020-2021 _Total,Actual 2020-2021 _Revenue,Actual 2020-2021 _Capital,Actual 2020-2021 _Total,Budget  2021-2022 _Revenue,Budget  2021-2022 _Capital,Budget  2021-2022 _Total,Revised 2021-2022 _Revenue,Revised 2021-2022 _Capital,Revised 2021-2022 _Total,Budget  2022-2023 _Revenue,Budget  2022-2023 _Capital,Budget  2022-2023 _Total
Police,Central Armed Police Forces,Central Reserve Police Force,P1,15843.65,384.53,16228.18,16641.33,356.74,16998.07,16441.59,361.95,16803.54,17400.35,468.18,17868.53,18241.9,478.18,18720.08,18083.49,476.87,18560.36,19799.85,468.18,20268.03,22187.66,458.97,22646.63,21522.56,451.47,21974.03,23259.51,704.15,23963.66,24922.88,724.36,25647.24,24489.86,643.27,25133.13,25557.91,701.5,26259.41,24301.52,486.76,24788.28,24007.8,402.42,24410.22,25496.98,700.92,26197.9,26839.84,467.58,27307.42,28713.44,611.48,29324.92
Police,Central Armed Police Forces,National Security Guard,P2,624.22,64.25,688.47,657.02,64.25,721.27,649.92,46.95,696.87,702.29,113.81,816.1,866.21,79.71,945.92,880.07,88.28,968.35,934.54,98.76,1033.3,966.62,61.46,1028.08,966.46,40.46,1006.92,1027.04,92.63,1119.67,1014.44,76.47,1090.91,1078.77,34.83,1113.6,1119.08,70.98,1190.06,905.8,48.69,954.49,893.22,36.64,929.86,1113.42,121.9,1235.32,1079.09,72.07,1151.16,1150.87,142.5,1293.37
Police,Central Armed Police Forces,Border Security Force,P3,14447.9,205,14652.9,14651.3,188.2,14839.5,14720.84,188.01,14908.85,15335.25,233.86,15569.11,15987.6,201.14,16188.74,15810.67,208.21,16018.88,16884.78,233.86,17118.64,18369.72,216.24,18585.96,18431.17,220.79,18651.96,19402.85,247.89,19650.74,20196.71,190.89,20387.6,20076.13,177.76,20253.89,20706.77,245.72,20952.49,19214.79,163.04,19377.83,19163.56,158.25,19321.81,20493.54,236,20729.54,21341.14,150,21491.14,22318.45,400,22718.45
Police,Central Armed Police Forces,Indo-Tibetan Border Police,P4,4142.24,88.8,4231.04,4513.58,76,4589.58,4569.31,71.66,4640.97,4711.75,112.56,4824.31,5011.32,62,5073.32,5009.69,68.41,5078.1,5409.11,112.56,5521.67,5508.99,112.56,5621.55,5575.97,122.77,5698.74,5909.98,108.71,6018.69,6529.43,97.98,6627.41,6520.68,104.66,6625.34,6413.71,108.39,6522.1,6116.44,33.71,6150.15,6117.07,26.02,6143.09,6467.65,99.52,6567.17,6907.24,57.78,6965.02,7301.64,159.64,7461.28
Police,Central Armed Police Forces,Central Industrial Security Force,P5,6042.5,24.63,6067.13,6444.62,18.63,6463.25,6544.57,18.63,6563.2,6643.35,42.9,6686.25,7557.06,47.16,7604.22,7567.08,47.14,7614.22,8175.02,42.9,8217.92,8589.59,45.24,8634.83,9069.7,45.24,9114.94,9109.02,46.09,9155.11,9938.8,50.8,9989.6,10373.64,47.12,10420.76,10133.52,46.09,10179.61,10641.97,35.01,10676.98,11182.98,35.03,11218.01,10255.74,86.09,10341.83,11340.54,32,11372.54,12098.9,103,12201.9
Police,Central Armed Police Forces,Assam Rifles,P6,4242.5,121.38,4363.88,4447.58,194.38,4641.96,4530.67,193.23,4723.9,4632.94,168.9,4801.84,4763.93,160.59,4924.52,4801.15,230.01,5031.16,5329.84,218.9,5548.74,5496.21,179.16,5675.37,5508.97,185.16,5694.13,5766.67,234.8,6001.47,5546.29,233.33,5779.62,5432.43,199.11,5631.54,5851.85,210.02,6061.87,5436.56,143.01,5579.57,5383.89,114.66,5498.55,5895.48,265.42,6160.9,5886.25,160,6046.25,6423.71,234.7,6658.41
Police,Central Armed Police Forces,Shashastra Seema Bal,P7,3775.67,79,3854.67,4028.06,68,4096.06,3979.96,65.43,4045.39,4221.87,98.8,4320.67,4507.66,87.1,4594.76,4553.96,87.06,4641.02,4831.1,98.8,4929.9,5376.59,98.8,5475.39,5321.63,97.92,5419.55,5582.48,104.73,5687.21,6424.24,108.28,6532.52,6282.71,99.21,6381.92,6510.06,89.89,6599.95,5865.7,84.3,5950,5935.47,81.48,6016.95,6382.82,96.92,6479.74,6874.55,65.87,6940.42,7508.73,145,7653.73
Police,Central Armed Police Forces,Departmental Accounting,P8,90.18,0,90.18,94.16,0,94.16,91.75,0,91.75,98.3,0,98.3,97.24,0,97.24,95.24,0,95.24,103.11,0,103.11,111.94,0,111.94,110.17,0,110.17,117.35,0,117.35,114.43,0,114.43,111.41,0,111.41,121.03,0,121.03,112.75,0,112.75,111.65,0,111.65,125.64,0,125.64,122.3,0,122.3,132,0,132
Police,Intelligence Bureau,Intelligence Bureau,P9,1390.45,20,1410.45,1510.61,15,1525.61,1595.17,15.42,1610.59,1555.07,22,1577.07,1860.7,22,1882.7,1852.82,17.86,1870.68,1854.44,22,1876.44,2008.85,47.2,2056.05,2078.68,30.09,2108.77,2275.6,108.5,2384.1,2376.09,69.69,2445.78,2324.31,63.33,2387.64,2491.75,83.5,2575.25,2375.43,58.46,2433.89,2305.64,44.92,2350.56,2755.74,83.5,2839.24,2719.27,73.75,2793.02,3039.36,129,3168.36
Police,National Intelligence Grid,National Intelligence Grid,P10,27,18,45,16.21,2.5,18.71,14.52,0,14.52,23.97,21.6,45.57,20.77,2,22.77,19.12,0,19.12,28.2,19.08,47.28,26.29,4,30.29,23.15,0.26,23.41,30.6,20.22,50.82,27.07,16.7,43.77,25.93,2.07,28,31.95,20.22,52.17,28.38,72.6,100.98,26.2,9.33,35.53,39.83,20.22,60.05,32.72,45.22,77.94,37.77,50,87.77
