Ministry,Head,Scheme,schemeID,Budget 2016-2017 _Revenue,Budget 2016-2017 _Capital,Budget 2016-2017 _Total,Revised 2016-2017 _Revenue,Revised 2016-2017 _Capital,Revised 2016-2017 _Total,Actual 2016-2017 _Revenue,Actual 2016-2017 _Capital,Actual 2016-2017 _Total,Budget 2017-2018 _Revenue,Budget 2017-2018 _Capital,Budget 2017-2018 _Total,Revised 2017-2018 _Revenue,Revised 2017-2018 _Capital,Revised 2017-2018 _Total,Actual 2017-2018 _Revenue,Actual 2017-2018 _Capital,Actual 2017-2018 _Total,Budget 2018-2019 _Revenue,Budget 2018-2019 _Capital,Budget 2018-2019 _Total,Revised 2018-2019 _Revenue,Revised 2018-2019 _Capital,Revised 2018-2019 _Total,Actual 2018-2019 _Revenue,Actual 2018-2019 _Capital,Actual 2018-2019 _Total,Budget 2019-2020 _Revenue,Budget 2019-2020 _Capital,Budget 2019-2020 _Total,Revised 2019-2020 _Revenue,Revised 2019-2020 _Capital,Revised 2019-2020 _Total,Actual 2019-2020 _Revenue,Actual 2019-2020 _Capital,Actual 2019-2020 _Total,Budget 2020-2021 _Revenue,Budget 2020-2021 _Capital,Budget 2020-2021 _Total,Revised 2020-2021 _Revenue,Revised 2020-2021 _Capital,Revised 2020-2021 _Total,Actual 2020-2021 _Revenue,Actual 2020-2021 _Capital,Actual 2020-2021 _Total,Budget  2021-2022 _Revenue,Budget  2021-2022 _Capital,Budget  2021-2022 _Total,Revised 2021-2022 _Revenue,Revised 2021-2022 _Capital,Revised 2021-2022 _Total,Budget  2022-2023 _Revenue,Budget  2022-2023 _Capital,Budget  2022-2023 _Total
Ministry of Women and Child Development,National Commission for Protection of Child Rights (NCPCR),National Commission for Protection of Child Rights (NCPCR),W1,19,0,19,19,0,19,14.96,0,14.96,19,0,19,26.5,0,26.5,12.61,0,12.61,18,0,18,17.83,0,17.83,15.83,0,15.83,18,0,18,18,0,18,15.86,0,15.86,18,0,18,17,0,17,15.27,0,15.27,18,0,18,18.66,0,18.66,21.09,0,21.09
Ministry of Women and Child Development,National Commission for Women,National Commission for Women,W2,25.6,0,25.6,25.6,0,25.6,22.81,0,22.81,25.6,0,25.6,25.6,0,25.6,24.29,0,24.29,24,0,24,24,0,24,22.92,0,22.92,25,0,25,25,0,25,23.37,0,23.37,26,0,26,21.88,0,21.88,20.83,0,20.83,27,0,27,25.8,0,25.8,27,0,27
Ministry of Women and Child Development,"Women Helpline				","Women Helpline				",W3,25,0,25,25,0,25,0.85,0,0.85,10,0,10,10,0,10,7.64,0,7.64,28.8,0,28.8,28.8,0,28.8,11.89,0,11.89,17.78,0,17.78,17,0,17,11.34,0,11.34,30,0,30,24,0,24,12.53,0,12.53,0,0,0,0,0,0,0,0,0
Ministry of Women and Child Development,One Stop Center,One Stop Center,W4,75,0,75,75,0,75,40.24,0,40.24,90,0,90,90,0,90,30.1,0,30.1,105.1,0,105.1,302.8,0,302.8,149.23,0,149.23,274,0,274,204,0,204,137.59,0,137.59,385,0,385,170,0,170,159.78,0,159.78,0,0,0,0,0,0,0,0,0
Ministry of Women and Child Development,Swadhar Greh,Swadhar Greh,W5,100,0,100,90,0,90,83.69,0,83.69,100,0,100,75,0,75,57.21,0,57.21,95,0,95,50,0,50,24.5,0,24.5,50,0,50,35,0,35,25.48,0,25.48,50,0,50,25,0,25,24.4,0,24.4,0,0,0,0,0,0,0,0,0
Ministry of Women and Child Development,Ujjawala                                ,Ujjawala                                ,W6,35,0,35,24,0,24,20.32,0,20.32,50,0,50,35,0,35,24.55,0,24.55,50,0,50,20,0,20,6.43,0,6.43,30,0,30,20,0,20,9.34,0,9.34,30,0,30,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0
Ministry of Women and Child Development,"Working Women Hostel				","Working Women Hostel				",W7,28,0,28,28,0,28,23.13,0,23.13,50,0,50,30,0,30,26.96,0,26.96,60,0,60,52,0,52,30.35,0,30.35,165,0,165,45,0,45,32.55,0,32.55,150,0,150,20,0,20,19.51,0,19.51,0,0,0,0,0,0,0,0,0
Ministry of Women and Child Development,"Mahila Police Volunteers				","Mahila Police Volunteers				",W8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,7.01,7.01,0,7.01,4.48,0,4.48,7.01,0,7.01,4,0,4,1.14,0,1.14,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Ministry of Women and Child Development,"Home for Widows				","Home for Widows				",W9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,1.58,0,1.58,15,0,15,4,0,4,0,0,0,5,0,5,5,0,5,1,0,1,0,0,0,0,0,0,0,0,0
Ministry of Women and Child Development,Mission SHAKTI,SAMBAL,W10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,587,258,0,258,562,0,562
Ministry of Women and Child Development,Mission SHAKTI,SAMARTHYA,W11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522,0,2522,1863.09,,1863.09,2622.11,,2622.11
Ministry of Women and Child Development,"Child Protection Scheme				","Child Protection Scheme				",W12,397,0,397,597.5,0,597.5,576.98,0,576.98,648,0,648,648,0,648,637.81,0,637.81,725,0,725,925,0,925,915.7,0,915.7,1500,0,1500,1350,0,1350,865.83,0,865.83,1500,0,1500,821,0,821,846.63,0,846.63,0,0,0,0,0,0,0,0,0
Ministry of Women and Child Development,Mission VATSALYA (Child Protection Services and Child Welfare Services),Mission VATSALYA (Child Protection Services and Child Welfare Services),W13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,900,829.65,0,829.65,1472.17,0,1472.17
