GrantNumber,Indicator,Year,Value,id
Grant No. 15 - Jails,Actuals ,2018-19,88.65,1
Grant No. 15 - Jails,Revised Estimates ,2019-20,139.17,2
Grant No. 3 - Administration of justice,Actuals ,2018-19,444.75,3
Grant No. 3 - Administration of justice,Revised Estimates ,2019-20,597.79,4
Grant No. 14 - Police,Actuals ,2018-19,3980.19,5
Grant No. 14 - Police,Revised Estimates ,2019-20,5984.32,6
Grant No. 15 - Jails,Actuals ,2017-18,70.9642,7
Grant No. 15 - Jails,Budget Estimates ,2018-19,122.8324,8
Grant No. 15 - Jails,Revised Estimates ,2018-19,128.3574,9
Grant No. 15 - Jails,Budget Estimates ,2019-20,137.097,10
Grant No. 3 - Administration of justice,Actuals ,2017-18,358.3476,11
Grant No. 3 - Administration of justice,Budget Estimates ,2018-19,628.1541,12
Grant No. 3 - Administration of justice,Revised Estimates ,2018-19,671.3041,13
Grant No. 3 - Administration of justice,Budget Estimates ,2019-20,564.3093,14
Grant No. 14 - Police,Actuals ,2017-18,3613.303,15
Grant No. 14 - Police,Budget Estimates ,2018-19,5106.355,16
Grant No. 14 - Police,Revised Estimates ,2018-19,5266.16,17
Grant No. 14 - Police,Budget Estimates ,2019-20,5832.957,18
Grant No. 15 - Jails,Actuals ,2019-20,98.0264,19
Grant No. 15 - Jails,Budget Estimates ,2020-21,115.53,20
Grant No. 15 - Jails,Revised Estimates ,2020-21,116.4124,21
Grant No. 15 - Jails,Budget Estimates ,2021-22,109.8636,22
Grant No. 3 - Administration of justice,Actuals ,2019-20,439.4793,23
Grant No. 3 - Administration of justice,Budget Estimates ,2020-21,574.0319,24
Grant No. 3 - Administration of justice,Revised Estimates ,2020-21,588.821,25
Grant No. 3 - Administration of justice,Budget Estimates ,2021-22,611.2577,26
Grant No. 14 - Police,Actuals ,2019-20,4118.073,27
Grant No. 14 - Police,Budget Estimates ,2020-21,4783.257,28
Grant No. 14 - Police,Revised Estimates ,2020-21,5202.559,29
Grant No. 14 - Police,Budget Estimates ,2021-22,5181.879,30
Grant No. 14 - Police,Actuals ,2020-21,4096.63,31
Grant No. 14 - Police,Budget Estimates ,2022-23,6920.59,32
Grant No. 14 - Police,Revised Estimates ,2021-22,5332.48,33
Grant No. 3 - Administration of justice,Actuals ,2020-21,427.8955,34
Grant No. 3 - Administration of justice,Revised Estimates ,2021-22,630.0581,35
Grant No. 3 - Administration of justice,Budget Estimates ,2022-23,728.5152,36
Grant No. 15 - Jails,Actuals ,2020-21,71.8421,37
Grant No. 15 - Jails,Budget Estimates ,2022-23,159.7824,38
Grant No. 15 - Jails,Revised Estimates ,2021-22,113.1662,39
