Grant Number,Year,Actuals,Revised Estimates,Budget Estimates
Grant No. 15 - Jails,2018-19,88.65,12835.74,12283.24
Grant No. 15 - Jails,2019-20,9802.64,139.17,13709.7
Grant No. 3 - Administration of justice,2018-19,444.75,67130.41,62815.41
Grant No. 3 - Administration of justice,2019-20,43947.93,597.79,56430.93
Grant No. 14 - Police,2018-19,398019,526616,510635.5
Grant No. 14 - Police,2019-20,411807.3,598432,583295.7
Grant No. 15 - Jails,2017-18,7096.42,NA,NA
Grant No. 3 - Administration of justice,2017-18,35834.76,NA,NA
Grant No. 14 - Police,2017-18,361330.3,NA,NA
Grant No. 15 - Jails,2020-21,NA,11641.24,11553
Grant No. 15 - Jails,2021-22,NA,NA,10986.36
Grant No. 3 - Administration of justice,2020-21,NA,58882.1,57403.19
Grant No. 3 - Administration of justice,2021-22,NA,NA,61125.77
Grant No. 14 - Police,2020-21,NA,520255.9,478325.7
Grant No. 14 - Police,2021-22,NA,NA,518187.9
